"Deployment","Replicas","Available","Images"
"alarms","1","1","595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:alarms-a4ab87d2bb4bdd28f6557c9f2b2c9cfca51a7cfa"
"bootstrap","2","1","595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:bootstrap-826865e"
"certs","2","2","595443389404.dkr.ecr.us-west-2.amazonaws.com/certs@sha256:f7a667508fc42f5104139bee5364f155f8ef8e4f6d01227f157cb05fef257536"
"chirpstack","1","1","ghcr.io/chirpstack/chirpstack:4"
"cs-redis","1","1","docker.io/library/redis:7.2"
"domains","2","2","595443389404.dkr.ecr.us-west-2.amazonaws.com/domains@sha256:f7a667508fc42f5104139bee5364f155f8ef8e4f6d01227f157cb05fef257536"
"http","1","1","595443389404.dkr.ecr.us-west-2.amazonaws.com/http-adapter@sha256:481e0789f954be2d4e3d27cbbfd81cd38c5c0fbdc4e965d72908fabe308bd8a0"
"lora","2",,"gobee/lora:<tag>"
"lora-adapter","2","1","gobee/lora-adapter:<tag>"
"mosquitto","1","1","eclipse-mosquitto:2.0"
"mqtt-adapter","2","1","gobee/mqtt-adapter:<tag>"
"nats","1","1","595443389404.dkr.ecr.us-west-2.amazonaws.com/nats@sha256:820a97ef8a0e8e4b1f1c940c1fbf92e57ad548429dd20754de24ffe4f08996a3"
"nginx","1","1","595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala@sha256:e688fed0b0c7513a63364959e7d389c37ac8ecac7a6c6a31455eca2f5a71ab8b"
"pgreader",,,"595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:pgreader-dev"
"postgres-reader","1","1","595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:pgreader-de805b921976db22403914dec5e903c1ece7b345"
"postgres-writer","2","1","gobee/postgres-writer:<tag>"
"provision","1","1","595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala@sha256:8fdee43e9bad1028ba5a91438eb6292454b96f76cf27bdaac590cd2ce0c98f08"
"re","1","1","595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:re-ca73523145c4c1afa6cbcb9994f3c1fc4c589841"
"redis","1","1","redis:7"
"reports","1","1","595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:reports-45075eec054539fa282129e171c954a264cc845d"
"things","2","2","595443389404.dkr.ecr.us-west-2.amazonaws.com/things@sha256:f7a667508fc42f5104139bee5364f155f8ef8e4f6d01227f157cb05fef257536"
"timescale-reader",,,"595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:timescale-reader-dev"
"timescale-writer",,,"595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:timescale-writer-dev"
"users","2","2","595443389404.dkr.ecr.us-west-2.amazonaws.com/users@sha256:f7a667508fc42f5104139bee5364f155f8ef8e4f6d01227f157cb05fef257536"
"ws","1","1","595443389404.dkr.ecr.us-west-2.amazonaws.com/ws-adapter@sha256:c021866ee8461b7ed2aa5955cc970948ec63ef83bc5bbd52cbce63b069981fa6"
